id,dam,sire,sex
11980101,11430108,11433303,M
11980110,11430108,11433303,F
11980302,11430308,11433903,M
11980309,11430308,11433903,F
11980311,11430308,11433903,F
11980404,11430405,11430705,M
11980405,11430405,11430705,M
11980412,11430405,11430705,F
11980503,11430506,11434404,M
11980511,11430506,11434404,F
11980601,11430605,11435503,M
11980609,11430605,11435503,F
11980706,11431006,11433703,M
11980714,11431006,11433703,F
11980803,11430807,11435803,M
11980810,11430807,11435803,F
11980901,11430906,11431903,M
11980911,11430906,11431903,F
11981003,11431008,11435904,M
11981009,11431008,11435904,F
11981010,11431008,11435904,F
11981105,114311908,11435304,M
11981112,114311908,11435304,F
11981202,114312905,11436302,M
11981204,114312905,11436302,M
11981209,114312905,11436302,F
11981302,11431306,11432802,M
11981304,11431306,11432802,M
11981311,11431306,11432802,F
11981501,11431508,11430202,F
11981504,11431508,11430202,M
11981511,11431508,11430202,F
11981602,11431608,11433102,M
11981604,11431608,11433102,M
11981612,11431608,11433102,F
11981803,11431808,11430903,M
11981809,11431808,11430903,F
11981811,11431808,11430903,F
11981901,11431908,11431002,M
11981910,11431908,11431002,F
11982002,11432005,11435703,M
11982004,11432005,11435703,M
11982011,11432005,11435703,F
11982104,11432108,11433402,M
11982110,11432108,11433402,F
11982202,11432205,11432104,M
11982213,11432205,11432104,F
11982304,11432306,11436103,M
11982313,11432306,11436103,F
11982401,11432406,11430403,M
11982412,11432406,11430403,F
11982505,11432508,11435402,M
11982510,11432508,11435402,F
11982605,11432608,11432404,M
11982610,11432608,11432404,F
11982703,11432707,11432603,M
11982711,11432707,11432603,F
11982713,11432707,11432603,F
11982802,11432807,11432001,M
11982810,11432807,11432001,F
11982811,11432807,11432001,F
11982903,11432905,11434901,M
11982911,11432905,11434901,F
11983103,11433107,11432703,M
11983114,11433107,11432703,F
11983115,11433107,11432703,F
11983201,11433208,11434101,M
11983405,11433405,11430303,M
11983406,11433405,11430303,M
11983414,11433405,11430303,F
11983504,11433507,11431704,M
11983511,11433507,11431704,F
11983512,11433507,11431704,F
11983602,11433606,11435101,M
11983605,11433606,11435101,M
11983611,11433606,11435101,F
11983704,11433705,11433002,M
11983709,11433705,11433002,F
11983804,11433807,11436404,M
11983806,11433807,11436404,M
11983811,11433807,11436404,F
11983904,11433907,11432604,M
11983909,11433907,11432604,F
11984006,11434006,11434502,M
11984011,11434006,11434502,F
11984101,11435406,11430501,M
11984108,11435406,11430501,M
11984111,11435406,11430501,F
11984201,11434205,11433204,M
11984210,11434205,11433204,F
11984211,11434205,11433204,F
11984302,11434307,11431802,M
11984310,11434307,11431802,F
11984403,11434408,11434303,M
11984409,11434408,11434303,F
11984414,11434408,11434303,F
11984502,11434506,11435002,M
11984503,11434506,11435002,M
11984511,11434506,11435002,F
11984702,11434706,11432901,M
11984710,11434706,11432901,F
11984802,114348906,11431501,M
11984810,114348906,11431501,F
11984902,11434907,11431301,M
11984910,11434907,11431301,F
11984911,11434907,11431301,F
11985003,11435006,11435204,M
11985008,11435006,11435204,M
11985010,11435006,11435204,F
11985102,11435106,11434604,M
11985109,11435106,11434604,F
11985112,11435106,11434604,F
11985201,11435206,11434201,M
11985203,11435206,11434201,M
11985213,11435206,11434201,F
11985301,11435305,11434804,M
11985303,11435305,11434804,M
11985312,11435305,11434804,F
11985402,11435408,11432203,M
11985409,11435408,11432203,F
11985413,11435408,11432203,F
11985502,11435506,11430601,M
11985509,11435506,11430601,F
11985511,11435506,11430601,F
11985606,11435607,11433802,M
11985608,11435607,11433802,M
11985610,11435607,11433802,F
11985706,11435706,11433603,M
11985710,11435706,11433603,F
11986103,11436105,11431602,M
11986110,11436105,11431602,F
11986203,11436205,11431201,M
11986215,11436205,11431201,F
11986302,11436306,11435604,M
11986313,11436306,11435604,F
11986401,11436405,11433503,M
11986410,11436405,11433503,F
11986412,11436405,11433503,F
11981405,11431405,11434003,M
11981412,11431405,11434003,F
